0.017833,0.068667,0.38567,0.024333,0.047167
0.0225,0.084833,0.5095,0.036667,0.10283
0.0445,0.10483,0.546,0.079333,0.22283
0.070667,0.12367,0.6285,0.14733,0.25717
0.071667,0.13633,0.63033,0.18417,0.36767
0.1235,0.16117,0.64833,0.22067,0.447
0.1295,0.1725,0.6035,0.24167,0.45733
0.1525,0.19367,0.66517,0.28717,0.43933
0.18517,0.20867,0.69283,0.30583,0.49917
0.2125,0.21333,0.66267,0.34367,0.54233
0.239,0.24067,0.71683,0.378,0.55483
0.26767,0.25533,0.70733,0.416,0.51483
0.26317,0.2755,0.69483,0.38033,0.5385
0.294,0.29333,0.73017,0.40817,0.55283
0.3205,0.30617,0.69733,0.431,0.5915
0.3315,0.32617,0.7215,0.44233,0.607
0.3685,0.33767,0.73483,0.441,0.57767
