0.22217,0.4,0.84983,0.34767,0.5665
0.22217,0.4,0.84983,0.34683,0.54667
0.22217,0.4,0.84983,0.3375,0.52733
0.22217,0.4,0.84983,0.32317,0.503
0.22217,0.4,0.84983,0.31967,0.484
0.22217,0.4,0.84983,0.3145,0.476
0.22217,0.4,0.84983,0.30033,0.45083
0.22217,0.4,0.84983,0.30767,0.42583
0.22217,0.4,0.84983,0.2945,0.42183
0.22217,0.4,0.84983,0.2905,0.39633
0.22217,0.4,0.84983,0.27817,0.3715
0.22217,0.4,0.84983,0.281,0.363
0.22217,0.4,0.84983,0.27917,0.36317
0.22217,0.4,0.84983,0.27917,0.36333
0.22217,0.4,0.84983,0.269,0.33683
0.22217,0.4,0.84983,0.25617,0.30817
0.22217,0.4,0.84983,0.25617,0.30817
