0.0095,0.1,0.19317,0.0091667,0.010333
0.027333,0.15,0.49783,0.029167,0.050167
0.056833,0.2,0.58933,0.053333,0.11017
0.094167,0.25,0.717,0.107,0.20467
0.12717,0.3,0.7845,0.17067,0.28933
0.18,0.35,0.7995,0.23483,0.37733
0.22217,0.4,0.84983,0.2945,0.42183
0.27767,0.45,0.87467,0.374,0.49083
0.32167,0.5,0.89983,0.418,0.56583
0.38767,0.55,0.91233,0.4955,0.60467
0.4515,0.6,0.929,0.53933,0.67017
0.52783,0.65,0.93317,0.61317,0.7305
0.58883,0.7,0.926,0.67067,0.76617
0.66417,0.75,0.956,0.71533,0.80617
0.718,0.8,0.965,0.76433,0.84533
0.77083,0.85,0.972,0.79467,0.87567
0.83883,0.9,0.97967,0.85483,0.9075
